start,low,high,open,close,volume
1735794000,3403.56,3412.57,3411.52,3404.06,215.5219834
1735794300,3398.39,3403.99,3403.99,3401.58,677.10780904
1735794600,3400.39,3404.06,3401.58,3400.6,393.86677407
1735794900,3398.68,3405.76,3400.6,3404.38,316.99905927
1735795200,3403.61,3407.38,3404.38,3404.75,299.41497986
1735795500,3404.59,3410.75,3404.59,3409.73,178.19582422
1735795800,3407.91,3411.43,3409.71,3409.04,268.50927675
1735796100,3407.92,3411.68,3409.05,3410.85,121.22909401
1735796400,3408.55,3412.46,3411.05,3411.92,155.5746121
1735796700,3407.26,3412.06,3411.92,3408.32,176.7882503
1735797000,3403.42,3409.05,3408.69,3405.75,139.39209754
1735797300,3399.34,3407.14,3406,3406.25,550.90518941
1735797600,3405.85,3409.17,3406.41,3408.81,140.88716196
1735797900,3399.42,3409.71,3408.86,3401.69,167.05419416
1735798200,3399.09,3403.13,3401.76,3401.31,150.55092511
1735798500,3396.97,3401.75,3401.52,3398.2,178.69121083
1735798800,3396.16,3399.7,3398.2,3399.69,197.55058253
1735799100,3397.4,3403.07,3399.7,3397.56,178.05242956
1735799400,3396.26,3402.55,3397.5,3399.1,227.32759426
1735799700,3398.19,3403.97,3399.07,3403.18,121.86476632
1735800000,3400.63,3404.29,3403.17,3403.49,84.29065044
1735800300,3400.52,3406.48,3403.53,3400.84,279.21292135
1735800600,3400.8,3402.96,3400.84,3400.89,66.2744333
1735800900,3400.59,3405.7,3400.9,3405.25,54.32920753
1735801200,3403.73,3407.48,3405.25,3406.31,120.63298639
1735801500,3405.31,3409.73,3406.31,3407.8,153.89257214
1735801800,3407.08,3410.63,3407.86,3410.07,106.01641422
1735802100,3408.28,3412.52,3409.99,3410.96,111.54829028
1735802400,3409.47,3415.51,3410.96,3414.73,279.42739129
1735802700,3412.18,3415,3414.74,3413.58,181.4187409
1735803000,3412.76,3416.71,3413.57,3415.51,188.33393722
1735803300,3411.95,3415.64,3415.46,3413.76,192.4678845
1735803600,3411.23,3413.76,3413.76,3412.12,134.01433253
1735803900,3410.26,3412.39,3412.06,3411.37,147.93184009
1735804200,3408.92,3412,3411.08,3411.51,121.13744898
1735804500,3411.5,3417.3,3411.51,3415.3,343.95886146
1735804800,3415.3,3421.28,3415.3,3420.71,315.80989979
1735805100,3418.26,3422,3420.71,3421.22,177.3516339
1735805400,3419.93,3428.14,3421.21,3427.5,290.37205674
1735805700,3418.86,3428.17,3427.5,3419.82,205.19879379
1735806000,3413.32,3422.4,3419.95,3413.32,192.45947901
1735806300,3412.36,3415.22,3413.23,3413.31,169.38809793
1735806600,3409.24,3415.3,3413.45,3414.63,152.93788846
1735806900,3411.83,3415.85,3414.64,3412.97,123.95072674
1735807200,3412.64,3419.92,3412.97,3419.33,122.76005218
1735807500,3417.89,3422.84,3419.4,3421.74,280.17923863
1735807800,3421.37,3428.07,3421.73,3427.05,381.96641718
1735808100,3426.32,3437.32,3427.05,3432.83,481.43345311
1735808400,3429.83,3435.24,3432.83,3435.23,382.10793217
1735808700,3429.49,3436.89,3435.24,3431.27,343.92367651
1735809000,3429.69,3437.09,3431.5,3436.96,246.48976424
1735809300,3435.86,3441.1,3436.75,3438.31,454.98625781
1735809600,3434.41,3441.04,3438.3,3436.56,330.82462568
1735809900,3434.52,3440.59,3436.48,3440.5,124.32086869
1735810200,3437.35,3442.27,3440.48,3440.03,166.74005778
1735810500,3434.46,3440.12,3440.12,3435.01,242.19837988
1735810800,3434.8,3438.86,3435.11,3437.75,127.02420168
1735811100,3435,3438.72,3437.74,3436.74,88.44765723
1735811400,3437.06,3446.25,3437.06,3445.26,250.19132727
1735811700,3445.05,3466.07,3445.16,3463.57,1166.88483873
1735812000,3456.44,3468.74,3463.58,3456.44,298.48446591
1735812300,3454.17,3461.32,3456.45,3459.12,72.61916554
1735812600,3453.71,3460.66,3459.11,3454.92,106.62664069
1735812900,3454.58,3461.33,3454.91,3460.79,178.55855103
1735813200,3459.34,3466.13,3460.78,3463.61,190.6450812
1735813500,3463.25,3472,3463.61,3467.17,274.87816311
1735813800,3462.96,3470.94,3466.97,3470.47,223.5935028
1735814100,3464.05,3471.18,3470.47,3467.83,104.48173782
1735814400,3463.4,3468.81,3467.83,3464.12,121.01728513
1735814700,3462.73,3467.68,3464.12,3463.56,238.66035544
1735815000,3459.63,3465.53,3463.56,3462.22,192.59995199
1735815300,3461.79,3466.98,3462.22,3464.75,312.32219181
1735815600,3460.85,3465.38,3464.75,3462.4,174.13164882
1735815900,3460.18,3468.46,3462.4,3465.03,403.93442854
1735816200,3457.7,3465.03,3465.03,3459.9,113.17701006
1735816500,3457.49,3460.64,3459.69,3459.68,205.16559376
1735816800,3455.2,3461.71,3459.34,3455.92,563.5288736
1735817100,3453.39,3462.18,3455.92,3461.83,560.48520924
1735817400,3461.5,3465.71,3461.83,3464.82,518.22928152
1735817700,3464.77,3468.22,3464.83,3467.11,192.81509723
1735818000,3464.93,3468.31,3467.1,3467.98,327.81862914
1735818300,3467.96,3484.46,3468.31,3469.79,1624.17217026
1735818600,3464.2,3469.78,3469.78,3466.35,168.96454878
1735818900,3466.13,3470.34,3466.35,3467.32,97.24820694
1735819200,3467.44,3471.25,3467.44,3470.45,245.79581896
