Entry_Date,Exit_Date,Holding_Mins,Pair,Side,Entry_Price,Exit_Price,P/L_USD
2025-01-02 04:10:00,2025-01-02 09:00:00,290.0,BTC-USD,BUY,96057.1,95928.74,5.0
2025-01-02 09:40:00,2025-01-02 10:35:00,55.0,BTC-USD,BUY,96725.35,96330.66,-10.05
2025-01-02 12:10:00,2025-01-02 12:25:00,15.0,BTC-USD,BUY,97460.71,97022.97,-9.95
2025-01-02 13:00:00,2025-01-02 13:05:00,5.0,BTC-USD,SELL,96380.19,96886.77,-9.85
2025-01-02 15:20:00,2025-01-02 15:25:00,5.0,BTC-USD,BUY,97743.11,97511.77,-9.75
2025-01-02 16:10:00,2025-01-02 17:15:00,65.0,BTC-USD,SELL,97104.69,96780.48,14.48
2025-01-02 17:35:00,2025-01-02 20:50:00,195.0,BTC-USD,SELL,96860.0,96911.15,4.9
2025-01-02 21:05:00,2025-01-02 21:20:00,15.0,BTC-USD,BUY,96897.72,97197.8,14.77
2025-01-02 21:25:00,2025-01-02 23:40:00,135.0,BTC-USD,BUY,97175.41,96820.35,-10.0
2025-01-02 23:45:00,2025-01-03 00:05:00,20.0,BTC-USD,SELL,96794.31,96602.49,14.84
2025-01-03 00:15:00,2025-01-03 00:45:00,30.0,BTC-USD,SELL,96711.99,96706.51,5.02
2025-01-03 00:50:00,2025-01-03 02:40:00,110.0,BTC-USD,SELL,96678.74,96320.53,15.14
2025-01-03 02:50:00,2025-01-03 04:40:00,110.0,BTC-USD,SELL,96250.01,96548.26,-10.25
2025-01-03 04:45:00,2025-01-03 05:10:00,25.0,BTC-USD,BUY,96504.61,96358.06,-10.14
2025-01-03 05:20:00,2025-01-03 06:20:00,60.0,BTC-USD,SELL,96392.3,96727.14,-10.04
2025-01-03 06:45:00,2025-01-03 07:00:00,15.0,BTC-USD,BUY,96660.52,96751.5,4.97
2025-01-03 09:05:00,2025-01-03 09:35:00,30.0,BTC-USD,BUY,96740.84,97255.41,5.0
2025-01-03 09:40:00,2025-01-03 14:05:00,265.0,BTC-USD,BUY,97198.91,98692.54,15.06
2025-01-03 14:10:00,2025-01-03 18:30:00,260.0,BTC-USD,BUY,98877.35,98068.74,-10.19
2025-01-03 18:45:00,2025-01-03 19:00:00,15.0,BTC-USD,SELL,98071.9,98173.12,-10.09
2025-01-03 20:45:00,2025-01-04 04:15:00,450.0,BTC-USD,BUY,98021.65,97826.71,-9.99
2025-01-04 04:20:00,2025-01-04 14:10:00,590.0,BTC-USD,SELL,97865.32,98127.4,-9.89
2025-01-04 14:15:00,2025-01-04 16:05:00,110.0,BTC-USD,BUY,98184.82,98559.73,14.69
2025-01-04 16:10:00,2025-01-04 18:05:00,115.0,BTC-USD,BUY,98535.72,98227.53,-9.94
2025-01-04 18:25:00,2025-01-04 23:25:00,300.0,BTC-USD,SELL,98210.87,98461.78,-9.84
2025-01-04 23:30:00,2025-01-05 03:00:00,210.0,BTC-USD,BUY,98399.99,97947.22,-9.74
2025-01-05 03:00:00,2025-01-05 10:05:00,425.0,BTC-USD,SELL,97947.22,97861.31,4.82
2025-01-05 10:10:00,2025-01-05 12:35:00,145.0,BTC-USD,BUY,97800.39,97825.9,4.84
2025-01-05 12:40:00,2025-01-05 13:30:00,50.0,BTC-USD,SELL,97823.57,97787.57,4.87
2025-01-05 13:40:00,2025-01-05 15:15:00,95.0,BTC-USD,BUY,97813.77,98526.2,14.68
2025-01-05 15:20:00,2025-01-06 00:45:00,565.0,BTC-USD,BUY,98479.15,99749.09,14.9
2025-01-06 00:50:00,2025-01-07 09:55:00,1985.0,BTC-USD,BUY,99719.06,99966.01,5.04
2025-01-07 10:00:00,2025-01-07 12:45:00,165.0,BTC-USD,SELL,99497.13,96921.44,15.2
2025-01-07 12:50:00,2025-01-08 12:05:00,1395.0,BTC-USD,SELL,97129.9,94136.0,15.43
2025-01-08 12:35:00,2025-01-08 12:55:00,20.0,BTC-USD,SELL,93289.73,94007.23,-10.44
2025-01-08 14:50:00,2025-01-08 17:10:00,140.0,BTC-USD,SELL,94169.48,94717.52,-10.34
2025-01-08 17:20:00,2025-01-08 19:20:00,120.0,BTC-USD,BUY,94848.41,94933.63,5.12
2025-01-08 23:20:00,2025-01-09 08:35:00,555.0,BTC-USD,SELL,93991.62,92146.34,15.42
2025-01-09 08:40:00,2025-01-09 11:05:00,145.0,BTC-USD,SELL,92281.21,94591.46,-10.44
2025-01-09 12:30:00,2025-01-09 12:50:00,20.0,BTC-USD,SELL,93589.76,92511.35,15.5
2025-01-09 12:55:00,2025-01-09 17:35:00,280.0,BTC-USD,SELL,92690.06,92587.25,5.24
2025-01-09 18:35:00,2025-01-09 23:10:00,275.0,BTC-USD,SELL,92231.12,93699.81,-10.54
2025-01-10 00:15:00,2025-01-10 00:35:00,20.0,BTC-USD,BUY,93670.18,94111.26,15.65
