Entry_Date,Exit_Date,Holding_Mins,Pair,Side,Entry_Price,Exit_Price,P/L_USD
2025-01-02 04:10:00,2025-01-02 04:55:00,45.0,ETH-USD,BUY,3436.96,3463.57,15.0
2025-01-02 05:00:00,2025-01-02 09:00:00,240.0,ETH-USD,BUY,3456.44,3441.52,5.08
2025-01-02 09:05:00,2025-01-02 09:25:00,20.0,ETH-USD,SELL,3455.16,3459.86,5.1
2025-01-02 09:35:00,2025-01-03 10:40:00,1505.0,ETH-USD,BUY,3458.84,3551.65,15.38
2025-01-03 10:45:00,2025-01-07 09:55:00,5710.0,ETH-USD,BUY,3569.02,3569.02,5.2
2025-01-07 10:00:00,2025-01-07 14:40:00,280.0,ETH-USD,SELL,3559.05,3399.67,15.69
2025-01-07 14:45:00,2025-01-15 14:25:00,11500.0,ETH-USD,SELL,3388.11,3393.37,5.31
2025-01-15 14:40:00,2025-01-15 19:35:00,295.0,ETH-USD,BUY,3409.22,3391.71,5.33
2025-01-15 20:05:00,2025-01-15 20:20:00,15.0,ETH-USD,BUY,3410.89,3400.94,-10.72
2025-01-15 21:35:00,2025-01-15 22:15:00,40.0,ETH-USD,SELL,3393.45,3366.91,15.92
2025-01-15 22:20:00,2025-01-15 22:40:00,20.0,ETH-USD,SELL,3365.33,3366.19,5.39
2025-01-15 22:50:00,2025-01-16 02:15:00,205.0,ETH-USD,SELL,3361.98,3383.58,-10.83
2025-01-16 02:35:00,2025-01-16 03:15:00,40.0,ETH-USD,BUY,3383.12,3365.42,-10.72
2025-01-16 03:20:00,2025-01-16 06:55:00,215.0,ETH-USD,SELL,3354.78,3350.49,5.31
2025-01-16 07:10:00,2025-01-16 08:05:00,55.0,ETH-USD,BUY,3354.24,3335.39,-10.66
2025-01-16 13:45:00,2025-01-16 14:15:00,30.0,ETH-USD,SELL,3320.65,3333.44,-10.56
2025-01-16 14:40:00,2025-01-16 14:50:00,10.0,ETH-USD,BUY,3332.0,3340.51,5.23
2025-01-16 14:55:00,2025-01-16 16:00:00,65.0,ETH-USD,BUY,3344.03,3320.87,-10.5
2025-01-16 16:20:00,2025-01-16 17:30:00,70.0,ETH-USD,SELL,3313.46,3272.24,15.6
2025-01-16 17:35:00,2025-01-16 20:25:00,170.0,ETH-USD,SELL,3284.98,3340.21,-10.56
2025-01-16 21:15:00,2025-01-16 21:35:00,20.0,ETH-USD,BUY,3395.94,3377.93,-10.45
2025-01-16 22:10:00,2025-01-16 23:05:00,55.0,ETH-USD,SELL,3368.97,3354.24,15.52
2025-01-16 23:10:00,2025-01-16 23:40:00,30.0,ETH-USD,SELL,3348.27,3364.07,-10.5
2025-01-17 01:50:00,2025-01-17 02:40:00,50.0,ETH-USD,SELL,3368.24,3379.19,-10.4
2025-01-17 03:50:00,2025-01-17 07:30:00,220.0,ETH-USD,BUY,3404.0,3405.16,5.15
